REGION,OFFICE,USER_NAME,LAST_ACTIVE
Gauteng,GP_Region,MolletRa,2022/11/08 11:32:33
Gauteng,GP_Region,MvuyisiM,2021/03/24 10:35:51
Gauteng,GP_Region,NBoqwanaA,2023/03/01 10:57:51
Gauteng,GP_Region,Nelly,2021/03/20 11:05:12
Gauteng,GP_Region,NickoM,2023/03/13 11:55:37
Gauteng,GP_Region,NicoleL,2021/01/09 13:57:58
Gauteng,GP_Region,NokuzolaD,2022/12/12 14:39:13
Gauteng,GP_Region,Nomfundot,2021/03/16 14:32:27
Gauteng,GP_Region,NomsaC,2020/03/20 16:21:54
Gauteng,GP_Region,NomsaSo,2021/03/30 12:51:17
Gauteng,GP_Region,NoncebaCa,2021/03/13 16:19:50
Gauteng,GP_Region,NormanSe,2021/03/08 14:47:53
Gauteng,GP_Region,OfentseP,2021/02/18 14:44:02
Gauteng,GP_Region,PalesaMan,2020/03/26 09:17:20
Gauteng,GP_Region,PalesaMog,2022/11/18 14:12:48
Gauteng,GP_Region,PalesaR,2021/02/11 14:00:20
Gauteng,GP_Region,Patience,2022/12/07 13:42:14
Gauteng,GP_Region,PatienceR,2020/11/02 12:58:04
Gauteng,GP_Region,PfareloR,2022/12/08 10:00:17
Gauteng,GP_Region,PhutiMo,2021/03/18 13:40:57
Gauteng,GP_Region,RamaselaS,2021/01/30 14:58:50
Gauteng,GP_Region,RefilweN,2021/03/02 15:37:12
Gauteng,GP_Region,SammyMat,2021/03/14 15:18:05
Gauteng,GP_Region,SarahMf,2020/03/03 15:14:07
Gauteng,GP_Region,SeipatiK,2021/03/18 12:11:53
Gauteng,GP_Region,SesameK,2021/03/18 18:00:24
Gauteng,GP_Region,ShahidaH,2022/08/23 12:17:36
Gauteng,GP_Region,SisandaJ,2020/03/11 18:20:39
Gauteng,GP_Region,SphesihleZ,2021/03/30 12:34:57
Gauteng,GP_Region,ThamiT,2021/03/21 14:13:30
Gauteng,GP_Region,ThapeloMat,2021/09/29 12:26:07
Gauteng,GP_Region,ThatoK,2022/12/12 13:14:41
Gauteng,GP_Region,ThatoMol,2022/03/31 10:51:55
Gauteng,GP_Region,ThembekaS,2022/09/02 08:14:57
Gauteng,GP_Region,TholakeleMa,2022/10/26 13:17:12
Gauteng,GP_Region,TiffanyB,2020/07/14 07:36:23
Gauteng,GP_Region,TitusMa,2022/12/12 13:27:48
Gauteng,GP_Region,TsekiM,2020/03/23 15:46:42
Gauteng,GP_Region,TumeloMotsosi,2022/11/01 13:33:21
Gauteng,GP_Region,UmeshV,2022/11/25 09:47:46
Gauteng,GP_Region,VanessaV,2020/03/20 09:30:12
Gauteng,GP_Region,VincentM,2021/02/16 13:02:16
Gauteng,GP_Region,VincentMot,2022/12/12 14:36:16
Gauteng,GP_Region,WinnieN,2020/03/18 13:39:15
Gauteng,GP_Region,YonaP,2021/03/18 15:21:21
Gauteng,GP_Region,YondelaF,2021/01/23 11:47:06
Gauteng,GP_Region,YvetteO,2021/03/19 15:09:43
Gauteng,GP_Region,ZNxumaloA,2022/09/23 10:23:28
Gauteng,GP_Region,ZamaM,2021/03/17 17:19:54
Gauteng,GP_Region,ZwelibanziM,2020/03/23 17:39:06
Gauteng,GP_Region,asandan,2022/06/25 13:56:38
Gauteng,GP_Region,gordonl,2022/12/12 12:57:02
Gauteng,GP_Region,kagisot,2022/12/12 13:35:26
Gauteng,GP_Region,magdelines,2022/12/05 10:17:39
Gauteng,GP_Region,sandramo,2022/12/02 10:13:00
Gauteng,GP_Region,sophies,2022/05/19 14:08:11
Gauteng,GP_Region,vuyokazim,2022/11/14 14:25:24
Gauteng,Ga -Rankuwa / Mabopane,HalalaB,2022/11/30 12:25:26
Gauteng,Ga -Rankuwa / Mabopane,MariaMakg,2022/12/05 14:22:59
Gauteng,Ga -Rankuwa / Mabopane,SelinaR,2022/11/30 15:21:23
Gauteng,Ga -Rankuwa / Mabopane,SelloZ,2022/12/07 10:48:44
Gauteng,Ga -Rankuwa / Mabopane,TebogoMasi,2022/12/02 15:17:21
Gauteng,Ga -Rankuwa / Mabopane,TinyikoC,2022/03/24 14:02:23
Gauteng,George,HopeW,2022/04/01 14:41:59
Gauteng,George,NokugcinaN,2022/05/24 09:47:16
Gauteng,Germiston,JackMog,2023/05/05 14:16:24
Gauteng,Germiston,OlebogengMot,2022/11/24 11:28:42
Gauteng,Germiston,PiliswaM,2022/11/17 13:09:42
Gauteng,Germiston,SylviaDu,2022/11/21 12:49:45
Gauteng,Giyani local office,GrannyR,2021/05/27 12:02:36
Gauteng,Graaff-Reinet,AyandaTaf,2022/06/07 09:26:49
Gauteng,Greenvalley,FinestM,2021/11/19 17:26:26
Gauteng,Gugulethu,PumlaL,2022/06/28 08:34:54
Gauteng,Hartswater,JohannaW,2022/03/18 11:19:32
Gauteng,Heidelberg,NoliqwaM,2022/12/09 13:32:46
Gauteng,Heidelberg,PriscillaMh,2021/03/09 11:33:26
Gauteng,Heidelberg,ThaboSea,2022/08/23 11:12:17
Gauteng,Impendle,EstherSe,2022/09/06 15:27:38
Gauteng,Itsoseng (Ditsobotla),PhemeloL,2021/12/09 10:03:24
Gauteng,Johannesburg,ConsolationM,2022/06/06 11:06:02
Gauteng,Johannesburg,DorcasFa,2022/11/24 11:39:02
Gauteng,Johannesburg,GraceMod,2022/12/07 12:59:02
Gauteng,Johannesburg,KelebogileMol,2022/12/06 15:14:33
Gauteng,Johannesburg,MapuleMa,2022/12/12 15:34:17
Gauteng,Johannesburg,NyikoM,2021/03/30 14:21:42
Gauteng,Johannesburg,PhumeleleMy,2022/10/20 14:16:39
Gauteng,Johannesburg,SibuleleN,2022/12/12 08:56:36
Gauteng,Johannesburg,ZandileNt,2022/12/12 15:50:12
Gauteng,KZN_Region,NtombezinePSi,2022/02/15 11:19:13
Gauteng,KZN_Region,ThembelihleNa,2022/09/16 07:48:56
Gauteng,KZN_Region,VelemseniM,2022/07/01 08:58:22
Gauteng,Kagiso,BrendaE,2022/11/08 09:27:25
Gauteng,Kagiso,GwenMa,2022/12/07 08:48:40
Gauteng,Kagiso,JamesMat,2022/12/12 12:13:48
Gauteng,Keimoes,BradleyG,2021/11/19 13:29:03
Gauteng,Kempton Park,MMalapelaA,2021/12/07 14:36:02
Gauteng,Khutsong,KelebogileMa,2022/12/12 09:53:07
Gauteng,Khutsong,OscarMokhawa,2022/12/05 10:10:55
Gauteng,Khutsong,PrincessMhasa,2022/01/21 13:00:50
Gauteng,Khutsong,RuphusM,2021/09/16 15:59:02
Gauteng,Khutsong,StellaP,2022/12/02 14:03:46
Gauteng,Khutsong,VuyisaS,2021/06/10 09:56:48
Gauteng,Kroonstad,SempenyaneN,2022/08/30 11:00:38
Gauteng,Krugersdorp,MarinaB,2022/12/12 15:57:46
Gauteng,Krugersdorp,PetronellaJvR,2022/05/30 07:53:08
